customer_id,signup_date,region,currency_preference,segment,acquisition_channel,age_band,country,country_latitude,country_longitude
CUST0000001,2025-07-28 15:21:00,EU,GBP,Consumer,Affiliate,55+,United Kingdom,55.3781,-3.436
CUST0000002,2024-09-01 00:03:00,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000003,2024-06-03 02:38:00,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000004,2025-02-18 05:22:00,APAC,AUD,Consumer,Email,55+,Australia,-25.2744,133.7751
CUST0000005,2024-11-05 10:37:00,,USD,Consumer,Paid Search,35-44,United States,39.8283,-98.5795
CUST0000006,2025-07-11 04:23:00,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000007,2024-10-31 10:04:00,EU,EUR,Consumer,Email,35-44,Netherlands,52.1326,5.2913
CUST0000008,2024-12-04 02:05:00,APAC,AUD,Consumer,Paid Search,18-24,Australia,-25.2744,133.7751
CUST0000009,2024-10-04 13:30:00,,USD,Consumer,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000010,2025-01-01 02:48:00,EU,EUR,SMB,Organic,25-34,Spain,40.4637,-3.7492
CUST0000011,2024-04-21 10:35:00,,USD,Consumer,Paid Search,45-54,United States,39.8283,-98.5795
CUST0000012,2024-09-02 22:41:00,EU,GBP,Consumer,Paid Search,45-54,United Kingdom,55.3781,-3.436
CUST0000013,2025-05-25 04:48:00,,USD,Consumer,Social,35-44,United States,39.8283,-98.5795
CUST0000014,2024-09-03 12:54:00,,USD,SOHO,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000015,2025-04-19 01:34:00,APAC,AUD,Consumer,Retail Media,25-34,Australia,-25.2744,133.7751
CUST0000016,2024-02-27 15:45:00,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000017,2024-06-10 11:56:00,EU,EUR,Consumer,Affiliate,35-44,Netherlands,52.1326,5.2913
CUST0000018,2024-08-02 15:08:00,EU,EUR,SOHO,Organic,25-34,France,46.2276,2.2137
CUST0000019,2024-02-22 07:56:00,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000020,2025-04-03 00:51:00,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000021,2024-02-08 17:06:00,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000022,2025-05-09 14:46:00,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000023,2025-01-24 13:23:00,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000024,2025-07-27 03:14:00,EU,EUR,Consumer,Organic,25-34,Spain,40.4637,-3.7492
CUST0000025,2025-02-06 23:26:00,EU,GBP,Enterprise,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000026,2025-01-01 05:27:00,,USD,SMB,Organic,25-34,United States,39.8283,-98.5795
CUST0000027,2024-04-23 05:57:00,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000028,2025-03-29 22:13:00,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000029,2024-12-17 06:26:00,EU,EUR,SMB,Organic,25-34,France,46.2276,2.2137
CUST0000030,2025-05-15 14:00:00,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000031,2025-01-04 17:11:00,,USD,SOHO,Organic,25-34,United States,39.8283,-98.5795
CUST0000032,2025-05-11 01:34:00,,USD,SMB,Social,18-24,Canada,56.1304,-106.3468
CUST0000033,2025-03-30 19:58:00,EU,EUR,SMB,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000034,2024-05-03 04:14:00,EU,GBP,Consumer,Email,55+,United Kingdom,55.3781,-3.436
CUST0000035,2025-04-04 02:57:00,EU,EUR,Consumer,Organic,45-54,Spain,40.4637,-3.7492
CUST0000036,2025-06-25 13:49:00,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000037,2024-09-05 19:49:00,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000038,2024-12-13 07:37:00,EU,GBP,Consumer,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000039,2024-05-26 09:30:00,EU,GBP,Consumer,Social,25-34,United Kingdom,55.3781,-3.436
CUST0000040,2024-07-14 03:51:00,,USD,Consumer,Organic,45-54,United States,39.8283,-98.5795
CUST0000041,2025-03-23 22:33:00,EU,EUR,Consumer,Affiliate,35-44,Germany,51.1657,10.4515
CUST0000042,2025-08-28 03:53:00,,USD,SOHO,Affiliate,55+,United States,39.8283,-98.5795
CUST0000043,2025-01-05 22:30:00,EU,GBP,Consumer,Email,45-54,United Kingdom,55.3781,-3.436
CUST0000044,2024-01-29 02:33:00,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000045,2025-02-23 04:24:00,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000046,2024-05-06 20:10:00,,USD,SMB,Organic,25-34,Canada,56.1304,-106.3468
CUST0000047,2025-07-19 23:28:00,EU,EUR,Consumer,Paid Search,18-24,France,46.2276,2.2137
CUST0000048,2024-08-21 17:24:00,,USD,SOHO,Email,25-34,United States,39.8283,-98.5795
CUST0000049,2024-02-09 04:22:00,EU,EUR,SMB,Paid Search,25-34,Netherlands,52.1326,5.2913
CUST0000050,2025-07-26 18:41:00,EU,EUR,Consumer,Affiliate,18-24,Spain,40.4637,-3.7492
CUST0000051,2025-06-01 19:22:00,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000052,2025-01-19 16:42:00,,USD,SMB,Social,45-54,United States,39.8283,-98.5795
CUST0000053,2024-01-17 23:08:00,EU,EUR,Consumer,Organic,18-24,France,46.2276,2.2137
CUST0000054,2024-07-13 23:16:00,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000055,2025-08-26 16:08:00,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000056,2024-11-26 14:19:00,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000057,2024-05-11 20:32:00,,USD,SOHO,Retail Media,25-34,Canada,56.1304,-106.3468
CUST0000058,2025-07-20 03:02:00,EU,GBP,SMB,Paid Search,55+,United Kingdom,55.3781,-3.436
CUST0000059,2024-01-31 21:39:00,EU,EUR,SOHO,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000060,2025-06-20 23:10:00,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000061,2024-09-09 00:38:00,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000062,2024-06-05 00:24:00,EU,EUR,Consumer,Organic,35-44,Germany,51.1657,10.4515
CUST0000063,2024-03-15 01:13:00,APAC,USD,Consumer,Social,45-54,Philippines,12.8797,121.774
CUST0000064,2024-06-01 15:07:00,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000065,2024-01-22 15:42:00,APAC,USD,Consumer,Social,25-34,Philippines,12.8797,121.774
CUST0000066,2025-03-12 10:55:00,EU,EUR,SOHO,Organic,18-24,Spain,40.4637,-3.7492
CUST0000067,2025-05-30 01:15:00,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000068,2024-11-07 19:07:00,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000069,2024-09-23 12:24:00,EU,EUR,Consumer,Social,45-54,Netherlands,52.1326,5.2913
CUST0000070,2024-06-12 02:14:00,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000071,2024-08-08 20:43:00,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000072,2024-08-27 10:30:00,APAC,USD,SOHO,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000073,2024-09-15 12:13:00,EU,EUR,SOHO,Affiliate,25-34,France,46.2276,2.2137
CUST0000074,2024-01-04 03:30:00,EU,EUR,SOHO,Paid Search,25-34,Germany,51.1657,10.4515
CUST0000075,2024-02-11 11:45:00,APAC,USD,Enterprise,Organic,25-34,Philippines,12.8797,121.774
CUST0000076,2025-04-17 15:16:00,APAC,AUD,Consumer,Organic,18-24,Australia,-25.2744,133.7751
CUST0000077,2024-04-09 08:49:00,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000078,2024-08-12 22:48:00,,USD,Consumer,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000079,2024-07-27 21:35:00,EU,GBP,SOHO,Organic,35-44,United Kingdom,55.3781,-3.436
CUST0000080,2024-08-25 19:22:00,APAC,USD,Consumer,Affiliate,25-34,Philippines,12.8797,121.774
CUST0000081,2024-07-25 07:06:00,EU,EUR,SOHO,Email,25-34,Spain,40.4637,-3.7492
CUST0000082,2025-02-27 15:08:00,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000083,2025-05-30 08:54:00,,USD,SMB,Organic,35-44,United States,39.8283,-98.5795
CUST0000084,2025-01-29 21:31:00,,USD,SMB,Email,25-34,United States,39.8283,-98.5795
CUST0000085,2025-02-25 16:27:00,EU,EUR,Consumer,Social,35-44,Netherlands,52.1326,5.2913
CUST0000086,2024-09-15 22:53:00,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000087,2025-02-04 00:28:00,,USD,Consumer,Social,45-54,United States,39.8283,-98.5795
CUST0000088,2024-02-08 23:10:00,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000089,2024-10-11 13:02:00,APAC,AUD,Consumer,Email,25-34,Australia,-25.2744,133.7751
CUST0000090,2025-02-23 15:51:00,APAC,USD,SOHO,Paid Search,45-54,Philippines,12.8797,121.774
CUST0000091,2024-01-31 10:45:00,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000092,2025-03-04 19:25:00,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000093,2025-08-26 00:01:00,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000094,2025-07-22 23:42:00,LATAM,USD,Consumer,Affiliate,45-54,Brazil,-14.235,-51.9253
CUST0000095,2025-05-30 16:53:00,,USD,Consumer,Organic,55+,United States,39.8283,-98.5795
CUST0000096,2024-01-15 20:59:00,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000097,2024-09-21 13:22:00,EU,EUR,SOHO,Organic,35-44,France,46.2276,2.2137
CUST0000098,2025-03-24 05:37:00,EU,EUR,Consumer,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000099,2025-08-22 00:58:00,EU,GBP,SMB,Retail Media,25-34,United Kingdom,55.3781,-3.436
CUST0000100,2024-01-01 13:36:00,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000101,2024-05-04 20:51:00,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000102,2024-03-16 21:09:00,,USD,Consumer,Organic,18-24,Canada,56.1304,-106.3468
CUST0000103,2024-11-25 01:41:00,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000104,2024-07-30 14:13:00,EU,EUR,Consumer,Organic,45-54,Netherlands,52.1326,5.2913
CUST0000105,2025-07-11 12:49:00,,USD,Consumer,Affiliate,35-44,United States,39.8283,-98.5795
CUST0000106,2024-10-01 12:08:00,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000107,2024-05-27 05:07:00,EU,EUR,Consumer,Affiliate,18-24,France,46.2276,2.2137
CUST0000108,2025-07-17 20:00:00,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000109,2024-07-04 12:51:00,EU,EUR,SOHO,Email,35-44,Germany,51.1657,10.4515
CUST0000110,2025-02-12 11:12:00,EU,EUR,Consumer,Social,25-34,Netherlands,52.1326,5.2913
CUST0000111,2025-05-24 21:16:00,,USD,Consumer,Email,25-34,Canada,56.1304,-106.3468
CUST0000112,2025-03-19 16:34:00,APAC,AUD,SOHO,Email,55+,Australia,-25.2744,133.7751
CUST0000113,2024-10-07 15:09:00,,USD,Consumer,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000114,2025-08-29 23:04:00,,USD,SOHO,Email,35-44,Canada,56.1304,-106.3468
CUST0000115,2025-07-27 21:17:00,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000116,2024-08-08 00:16:00,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000117,2025-06-03 13:45:00,APAC,USD,SMB,Organic,25-34,Philippines,12.8797,121.774
CUST0000118,2024-11-18 19:42:00,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
