id,nome,nivel,sexo,tipos,movimentos,habilidade,natureza,cur_hp,stats,imagem,legendario,mitico,geracao,danos
1,bulbasaur,1,female,"['grass', 'poison']","['quick-attack', 'cross-poison']",chlorophyll,serious,45,"[45, 49, 49, 65, 65, 45]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
2,ivysaur,1,male,"['grass', 'poison']","['energy-ball', 'sludge-bomb']",overgrow,hardy,60,"[60, 62, 63, 80, 80, 60]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
3,venusaur,1,male,"['grass', 'poison']","['synthesis', 'magical-leaf']",chlorophyll,bashful,80,"[80, 82, 83, 100, 100, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,False,False,generation-i,"{'recebe_dano_duplo': ['psychic', 'poison', 'ice', 'fire', 'ground', 'bug', 'flying'], 'recebe_dano_metade': ['water', 'fairy', 'grass', 'poison', 'fighting', 'ground', 'bug', 'electric'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['water', 'fairy', 'grass', 'rock', 'ground'], 'causa_dano_metade': ['ghost', 'steel', 'grass', 'poison', 'dragon', 'rock', 'fire', 'ground', 'bug', 'flying'], 'causa_dano_zero': ['steel']}"
4,charmander,1,male,['fire'],"['sunny-day', 'fire-punch']",blaze,bashful,39,"[39, 52, 43, 50, 60, 65]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
5,charmeleon,1,male,['fire'],"['fire-spin', 'flare-blitz']",blaze,bashful,58,"[58, 64, 58, 65, 80, 80]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,False,False,generation-i,"{'recebe_dano_duplo': ['ground', 'water', 'rock'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'ice', 'fire', 'bug'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'bug', 'steel', 'ice'], 'causa_dano_metade': ['fire', 'water', 'rock', 'dragon'], 'causa_dano_zero': []}"
6,charizard,1,genderless,"['fire', 'flying']","['fire-punch', 'roost']",solar-power,bashful,78,"[78, 84, 78, 85, 109, 100]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,False,False,generation-i,"{'recebe_dano_duplo': ['water', 'rock', 'ice', 'ground', 'electric'], 'recebe_dano_metade': ['steel', 'fairy', 'grass', 'fighting', 'ice', 'fire', 'bug'], 'recebe_dano_zero': ['ground'], 'causa_dano_duplo': ['steel', 'grass', 'fighting', 'ice', 'bug'], 'causa_dano_metade': ['water', 'steel', 'rock', 'dragon', 'fire', 'electric'], 'causa_dano_zero': []}"
7,squirtle,1,genderless,['water'],"['hydro-cannon', 'brine']",rain-dish,hardy,44,"[44, 48, 65, 64, 50, 43]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
8,wartortle,1,male,['water'],"['water-sport', 'aqua-ring']",torrent,hardy,59,"[59, 63, 80, 80, 65, 58]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
9,blastoise,1,male,['water'],"['clamp', 'hydro-pump']",rain-dish,serious,79,"[79, 83, 100, 105, 85, 78]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,False,False,generation-i,"{'recebe_dano_duplo': ['grass', 'electric'], 'recebe_dano_metade': ['fire', 'water', 'steel', 'ice'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['fire', 'ground', 'rock'], 'causa_dano_metade': ['grass', 'water', 'dragon'], 'causa_dano_zero': []}"
10,caterpie,1,male,['bug'],"['string-shot', 'fury-cutter']",shield-dust,quirky,45,"[45, 30, 35, 20, 20, 45]",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,False,False,generation-i,"{'recebe_dano_duplo': ['fire', 'rock', 'flying'], 'recebe_dano_metade': ['fighting', 'grass', 'ground'], 'recebe_dano_zero': [], 'causa_dano_duplo': ['grass', 'dark', 'psychic'], 'causa_dano_metade': ['ghost', 'steel', 'fairy', 'poison', 'fighting', 'fire', 'flying'], 'causa_dano_zero': []}"
